url,item_name,colors,prices,origin_price,renew_value,technical_infomation
https://hoanghamobile.com/dien-thoai/samsung-galaxy-z-fold6-12gb-1tb,Samsung Galaxy Z Fold6 12GB/1TB,"Xanh,Xám,Hồng","52,990,000 ₫,52,990,000 ₫,52,990,000 ₫","54,990,000 ₫",0,"<Màn hình>|Công nghệ màn hình: Dynamic AMOLED 2X|Kích thước màn hình: MH chính: 7.6""
MH phụ: 6.3""|Độ sáng màn hình: 2600nits|Tần số quét (Hz): 1-120Hz|Độ phân giải: MH chính: 2160 x 1856
MH phụ: 2376 x 968|<Màn hình><Camera sau>|Quay phim: UHD 8K (7680 x 4320)@30fps|Tính năng: AI Camera với công nghệ ProVisual Engine (AI Zoom, Chụp chân dung AI)
Tính năng chụp đêm Nightography
Zoom quang học 3x
Zoom kỹ thuật số 30x|Đèn Flash: Có|Độ phân giải camera: 50 MP (f/1.8) + 12 MP (f/2.2) + 10 MP (f/2.4)|<Camera sau><Camera trước>|Độ phân giải camera: Camera trước ở màn hình phụ: 10 MP
Camera ẩn dưới màn hình: 4 MP|Tính năng: Xóa phông
Các tính năng chụp hình thông minh khác|<Camera trước><Hệ điều hành & CPU>|Hệ điều hành: Android 14|Vi xử lý đồ họa (GPU): Adreno 750|Vi xử lý: Snapdragon 8 Gen 3|Tốc độ CPU: 8-core (1x3.39GHz Cortex-X4 & 3x3.1GHz Cortex-A720 & 2x2.9GHz Cortex-A720 & 2x2.2GHz Cortex-A520)|<Hệ điều hành & CPU><Bộ nhớ & Lưu trữ>|RAM: 12GB|Bộ nhớ trong: 1TB|Bộ nhớ còn lại (khả dụng): 927.9GB|Thẻ nhớ ngoài: Không hỗ trợ thẻ nhớ|<Bộ nhớ & Lưu trữ><Kết nối>|Số khe SIM: Dual Nano-sim/ hoặc 01 Nano-sim + 01 E-sim|Bluetooth: V5.3|Cổng kết nối/sạc: Type C|Jack tai nghe: Không|Kết nối khác: Samsung Dex, OTG, Smart Switch|Wi-Fi: 802.11a/b/g/n/ac/ax|Cảm biến: Gia tốc
Áp suất kế
Cảm biến vân tay
Cảm biến Gyro
Cảm biến Geomagnetic
Cảm biến Hall
Cảm biến ánh sáng
Cảm biến tiệm cận|Mạng di động: 5G|Định vị: GPS
Glonass
Beidou
Galileo|Kết Nối NFC: Có|<Kết nối><Thiết kế - trọng lượng>|Trọng lượng: 239g|Thiết kế: Nguyên khối
Màn hình gập
Tản Nhiệt Buồng Hơi|Chất liệu: Chất liệu khung viền: Armor aluminum
Chất liệu mặt lưng máy: Gorilla Glass Victus 2|Kích thước: 153.5mm x 132.6mm x 5.6mm|<Thiết kế - trọng lượng><Pin & Sạc>|Dung lượng pin sản phẩm: 4400mAh|Hỗ trợ sạc tối đa: 25W|Công nghệ pin: Sạc không dây
Sạc pin nhanh
Tiết kiệm pin|Loại pin: Li-Ion|<Pin & Sạc><Tiện ích>|Tính năng đặc biệt: Hỗ trợ S-Pen
Chạm 2 lần sáng màn hình, Âm thanh AKG|Kháng nước, kháng bụi: IPX8|Bảo mật sinh trắc học: Mở khoá vân tay cạnh viền
Mở khoá khuôn mặt|<Tiện ích><Thông tin chung>|Thời điểm ra mắt: 07/2024|Sản phẩm bao gồm: Cáp Type C, Cây lấy sim, Hộp, Sách hướng dẫn|<Thông tin chung>"
https://hoanghamobile.com/dien-thoai/samsung-galaxy-z-fold6-12gb-512gb,Samsung Galaxy Z Fold6 12GB/512GB,"Xanh,Xám,Hồng","35,890,000 ₫,35,890,000 ₫,35,890,000 ₫","47,990,000 ₫",0,"<Màn hình>|Công nghệ màn hình: Dynamic AMOLED 2X|Kích thước màn hình: MH chính: 7.6""
MH phụ: 6.3""|Độ sáng màn hình: 2600nits|Tần số quét (Hz): 1-120Hz|Độ phân giải: MH chính: 2160 x 1856
MH phụ: 2376 x 968|<Màn hình><Camera sau>|Tính năng: AI Camera với công nghệ ProVisual Engine (AI Zoom, Chụp chân dung AI)
Tính năng chụp đêm Nightography
Zoom quang học 3x
Zoom kỹ thuật số 30x|Quay phim: UHD 8K (7680 x 4320)@30fps|Đèn Flash: Có|Độ phân giải camera: 50 MP (f/1.8) + 12 MP (f/2.2) + 10 MP (f/2.4)|<Camera sau><Camera trước>|Độ phân giải camera: Camera trước ở màn hình phụ: 10 MP
Camera ẩn dưới màn hình: 4 MP|Tính năng: Xóa phông
Các tính năng chụp hình thông minh khác|<Camera trước><Hệ điều hành & CPU>|Hệ điều hành: Android 14|Vi xử lý đồ họa (GPU): Adreno 750|Vi xử lý: Snapdragon 8 Gen 3|Tốc độ CPU: 8-core (1x3.39GHz Cortex-X4 & 3x3.1GHz Cortex-A720 & 2x2.9GHz Cortex-A720 & 2x2.2GHz Cortex-A520)|<Hệ điều hành & CPU><Bộ nhớ & Lưu trữ>|RAM: 12GB|Bộ nhớ trong: 512GB|Bộ nhớ còn lại (khả dụng): 453.3GB|Thẻ nhớ ngoài: Không hỗ trợ thẻ nhớ|<Bộ nhớ & Lưu trữ><Kết nối>|Số khe SIM: Dual Nano-sim/ hoặc 01 Nano-sim + 01 E-sim|Bluetooth: V5.3|Cổng kết nối/sạc: Type C|Jack tai nghe: Không|Kết nối khác: Samsung Dex, OTG, Smart Switch|Wi-Fi: 802.11a/b/g/n/ac/ax|Cảm biến: Gia tốc
Áp suất kế
Cảm biến vân tay
Cảm biến Gyro
Cảm biến Geomagnetic
Cảm biến Hall
Cảm biến ánh sáng
Cảm biến tiệm cận|Mạng di động: 5G|Định vị: GPS
Glonass
Beidou
Galileo|Kết Nối NFC: Có|<Kết nối><Thiết kế - trọng lượng>|Trọng lượng: 239g|Thiết kế: Nguyên khối
Màn hình gập
Tản Nhiệt Buồng Hơi|Chất liệu: Chất liệu khung viền: Armor aluminum
Chất liệu mặt lưng máy: Gorilla Glass Victus 2|Kích thước: 153.5mm x 132.6mm x 5.6mm|<Thiết kế - trọng lượng><Pin & Sạc>|Dung lượng pin sản phẩm: 4400mAh|Hỗ trợ sạc tối đa: 25W|Loại pin: Li-Ion|Công nghệ pin: Sạc không dây
Sạc pin nhanh
Tiết kiệm pin|<Pin & Sạc><Tiện ích>|Tính năng đặc biệt: Hỗ trợ S-Pen
Chạm 2 lần sáng màn hình, Âm thanh AKG|Kháng nước, kháng bụi: IPX8|Bảo mật sinh trắc học: Mở khoá vân tay cạnh viền
Mở khoá khuôn mặt|<Tiện ích><Thông tin chung>|Thời điểm ra mắt: 07/2024|Sản phẩm bao gồm: Cáp Type C, Cây lấy sim, Hộp, Sách hướng dẫn|<Thông tin chung>"
https://hoanghamobile.com/dien-thoai/samsung-galaxy-z-fold6,Samsung Galaxy Z Fold6 12GB/256GB,"Xanh,Xám,Hồng","32,390,000 ₫,32,390,000 ₫,32,390,000 ₫","43,990,000 ₫",0,"<Màn hình>|Công nghệ màn hình: Dynamic AMOLED 2X|Kích thước màn hình: MH chính: 7.6""
MH phụ: 6.3""|Độ sáng màn hình: 2600nits|Tần số quét (Hz): 1-120Hz|Độ phân giải: MH chính: 2160 x 1856
MH phụ: 2376 x 968|<Màn hình><Camera sau>|Quay phim: UHD 8K (7680 x 4320)@30fps|Tính năng: AI Camera với công nghệ ProVisual Engine (AI Zoom, Chụp chân dung AI)
Tính năng chụp đêm Nightography
Zoom quang học 3x
Zoom kỹ thuật số 30x|Đèn Flash: Có|Độ phân giải camera: 50 MP (f/1.8) + 12 MP (f/2.2) + 10 MP (f/2.4)|<Camera sau><Camera trước>|Độ phân giải camera: Camera trước ở màn hình phụ: 10 MP
Camera ẩn dưới màn hình: 4 MP|Tính năng: Xóa phông
Các tính năng chụp hình thông minh khác|<Camera trước><Hệ điều hành & CPU>|Hệ điều hành: Android 14|Vi xử lý đồ họa (GPU): Adreno 750|Vi xử lý: Snapdragon 8 Gen 3|Tốc độ CPU: 8-core (1x3.39GHz Cortex-X4 & 3x3.1GHz Cortex-A720 & 2x2.9GHz Cortex-A720 & 2x2.2GHz Cortex-A520)|<Hệ điều hành & CPU><Bộ nhớ & Lưu trữ>|RAM: 12GB|Bộ nhớ còn lại (khả dụng): 216.1GB|Bộ nhớ trong: 256GB|Thẻ nhớ ngoài: Không hỗ trợ thẻ nhớ|<Bộ nhớ & Lưu trữ><Kết nối>|Số khe SIM: Dual Nano-sim/ hoặc 01 Nano-sim + 01 E-sim|Bluetooth: V5.3|Cổng kết nối/sạc: Type C|Jack tai nghe: Không|Kết nối khác: Samsung Dex, OTG, Smart Switch|Wi-Fi: 802.11a/b/g/n/ac/ax|Mạng di động: 5G|Cảm biến: Cảm biến gia tốc
Cảm biến tiệm cận
Cảm biến ánh sáng
La bàn
Cảm biến áp kế
Cảm biến trọng lực|Định vị: GPS
Glonass
Beidou
Galileo|Kết Nối NFC: Có|<Kết nối><Thiết kế - trọng lượng>|Trọng lượng: 239g|Thiết kế: Nguyên khối
Màn hình gập
Tản Nhiệt Buồng Hơi|Chất liệu: Chất liệu khung viền: Armor aluminum
Chất liệu mặt lưng máy: Gorilla Glass Victus 2|Kích thước: 153.5mm x 132.6mm x 5.6mm|<Thiết kế - trọng lượng><Pin & Sạc>|Công nghệ pin: Sạc không dây
Sạc pin nhanh
Tiết kiệm pin|Dung lượng pin sản phẩm: 4400mAh|Hỗ trợ sạc tối đa: 25W|Loại pin: Li-Ion|<Pin & Sạc><Tiện ích>|Tính năng đặc biệt: Hỗ trợ S-Pen
Chạm 2 lần sáng màn hình, Âm thanh AKG|Bảo mật sinh trắc học: Các tính năng Galaxy AI:
Khoanh Tròn Để Tìm Kiếm với Google
Trợ Lí Note Quyền Năng
Hậu Kì Sáng Tạo
Phiên Dịch Viên
Phác Họa Thông Minh|Kháng nước, kháng bụi: IPX8|<Tiện ích><Thông tin chung>|Thời điểm ra mắt: 07/2024|Sản phẩm bao gồm: Đầy đủ phụ kiện từ nhà sản xuất|<Thông tin chung>"
https://hoanghamobile.com/dien-thoai/samsung-galaxy-z-flip6,Samsung Galaxy Z Flip6 12GB/256GB,"Xanh blue,Xanh Green,Xám,Màu Vàng","20,990,000 ₫,20,990,000 ₫,20,990,000 ₫,20,990,000 ₫","28,990,000 ₫",0,"<Màn hình>|Tần số quét (Hz): 1-120Hz|Công nghệ màn hình: MH chính: Dynamic AMOLED 2X
MH phụ: Super AMOLED|Kích thước màn hình: MH chính: 6.7""
MH phụ: 3.4""|Độ sáng màn hình: 2600nits|Độ phân giải: MH chính: 2640 x 1080
MH phụ: 748 x 720|<Màn hình><Camera sau>|Quay phim: UHD 4K (3840 x 2160)@60fps|Tính năng: FlexCam Với Auto Zoom AI
Hậu Kỳ Sáng Tạo
ProVisual Engine
Super HDR / Super Night Video|Đèn Flash: Có|Độ phân giải camera: 50 MP (f/1.8) x 12 MP (f/2.2)|<Camera sau><Camera trước>|Độ phân giải camera: 10 MP|Tính năng: Xóa phông
Chế độ FlexCam
Các tính năng chụp hình thông minh khác|<Camera trước><Hệ điều hành & CPU>|Hệ điều hành: Android 14|Vi xử lý đồ họa (GPU): Adreno 750|Vi xử lý: Snapdragon 8 Gen 3|Tốc độ CPU: 8-core (1x3.39GHz Cortex-X4 & 3x3.1GHz Cortex-A720 & 2x2.9GHz Cortex-A720 & 2x2.2GHz Cortex-A520)|<Hệ điều hành & CPU><Bộ nhớ & Lưu trữ>|RAM: 12GB|Bộ nhớ trong: 256GB|Bộ nhớ còn lại (khả dụng): 216.6GB|Thẻ nhớ ngoài: Không hỗ trợ thẻ nhớ|<Bộ nhớ & Lưu trữ><Kết nối>|Số khe SIM: 1 Nano-sim & 1 E-sim
2 E-sim|Bluetooth: V5.3|Cổng kết nối/sạc: Type C|Jack tai nghe: Không|Kết nối khác: OTG, Smart Switch|Wi-Fi: 802.11a/b/g/n/ac/ax|Cảm biến: Gia tốc
Áp suất kế
Cảm biến vân tay
Cảm biến Gyro
Cảm biến Geomagnetic
Cảm biến Hall
Cảm biến ánh sáng
Cảm biến tiệm cận|Mạng di động: 5G|Định vị: GPS
Glonass
Beidou
Galileo|Kết Nối NFC: Có|<Kết nối><Thiết kế - trọng lượng>|Thiết kế: Nguyên khối
Màn hình gập
Tản Nhiệt Buồng Hơi Đầu Tiên Trên Dòng Z Flip|Chất liệu: Chất liệu khung viền: Armor aluminum
Chất liệu mặt lưng máy: Gorilla Glass Victus 2|Kích thước: Khi mở: 165.1mm x 71.9mm x 6.9mm
Khi gập: 85.1mm x 71.9mm x 14.9mm|Trọng lượng: 187g|<Thiết kế - trọng lượng><Pin & Sạc>|Dung lượng pin sản phẩm: 4000mAh|Hỗ trợ sạc tối đa: 25W|Công nghệ pin: Sạc không dây
Sạc pin nhanh
Tiết kiệm pin|Loại pin: Li-Ion|<Pin & Sạc><Tiện ích>|Bảo mật sinh trắc học: Mở khoá vân tay cạnh viền
Nhận diện khuôn mặt|Tính năng đặc biệt: Các tính năng Galaxy AI:
FlexCam Với Auto Zoom AI
Khoanh Tròn Để Tìm Kiếm với Google
Hậu Kỳ Sáng Tạo
Phiên Dịch Viên
Cá Nhân Hóa Màn Hình Ngoài FlexWindow Với Galaxy AI|Kháng nước, kháng bụi: IPX8|<Tiện ích><Thông tin chung>|Thời điểm ra mắt: 07/2024|Sản phẩm bao gồm: Điện thoại thông minh, Cáp truyền dữ liệu, Que lấy sim|<Thông tin chung>"
https://hoanghamobile.com/dien-thoai/samsung-galaxy-z-flip6-12gb-512gb,Samsung Galaxy Z Flip6 12GB/512GB,"Xanh blue,Xanh Green,Xám,Màu Vàng","23,990,000 ₫,23,990,000 ₫,23,990,000 ₫,23,990,000 ₫","32,990,000 ₫",0,"<Màn hình>|Tần số quét (Hz): 1-120Hz|Công nghệ màn hình: MH chính: Dynamic AMOLED 2X
MH phụ: Super AMOLED|Kích thước màn hình: MH chính: 6.7""
MH phụ: 3.4""|Độ sáng màn hình: 2600nits|Độ phân giải: MH chính: 2640 x 1080
MH phụ: 748 x 720|<Màn hình><Camera sau>|Tính năng: FlexCam Với Auto Zoom AI
Hậu Kỳ Sáng Tạo
ProVisual Engine
Super HDR / Super Night Video|Quay phim: UHD 4K (3840 x 2160)@60fps|Đèn Flash: Có|Độ phân giải camera: 50 MP (f/1.8) x 12 MP (f/2.2)|<Camera sau><Camera trước>|Độ phân giải camera: 10 MP|Tính năng: Xóa phông
Chế độ FlexCam
Các tính năng chụp hình thông minh khác|<Camera trước><Hệ điều hành & CPU>|Hệ điều hành: Android 14|Vi xử lý đồ họa (GPU): Adreno 750|Vi xử lý: Snapdragon 8 Gen 3|Tốc độ CPU: 8-core (1x3.39GHz Cortex-X4 & 3x3.1GHz Cortex-A720 & 2x2.9GHz Cortex-A720 & 2x2.2GHz Cortex-A520)|<Hệ điều hành & CPU><Bộ nhớ & Lưu trữ>|RAM: 12GB|Bộ nhớ trong: 512GB|Bộ nhớ còn lại (khả dụng): 453.7 GB|Thẻ nhớ ngoài: Không hỗ trợ thẻ nhớ|<Bộ nhớ & Lưu trữ><Kết nối>|Số khe SIM: 1 Nano-sim & 1 E-sim
2 E-sim|Bluetooth: V5.3|Cổng kết nối/sạc: Type C|Jack tai nghe: Không|Kết nối khác: OTG, Smart Switch|Wi-Fi: 802.11a/b/g/n/ac/ax|Cảm biến: Gia tốc
Áp suất kế
Cảm biến vân tay
Cảm biến Gyro
Cảm biến Geomagnetic
Cảm biến Hall
Cảm biến ánh sáng
Cảm biến tiệm cận|Mạng di động: 5G|Định vị: GPS
Glonass
Beidou
Galileo|Kết Nối NFC: Có|<Kết nối><Thiết kế - trọng lượng>|Trọng lượng: 187g|Thiết kế: Nguyên khối
Màn hình gập
Tản Nhiệt Buồng Hơi Đầu Tiên Trên Dòng Z Flip|Chất liệu: Chất liệu khung viền: Armor aluminum
Chất liệu mặt lưng máy: Gorilla Glass Victus 2|Kích thước: Khi mở: 165.1mm x 71.9mm x 6.9mm
Khi gập: 85.1mm x 71.9mm x 14.9mm|<Thiết kế - trọng lượng><Pin & Sạc>|Dung lượng pin sản phẩm: 4000mAh|Hỗ trợ sạc tối đa: 25W|Công nghệ pin: Sạc không dây
Sạc pin nhanh
Tiết kiệm pin|Loại pin: Li-Ion|<Pin & Sạc><Tiện ích>|Tính năng đặc biệt: Các tính năng Galaxy AI:
FlexCam Với Auto Zoom AI
Khoanh Tròn Để Tìm Kiếm với Google
Hậu Kỳ Sáng Tạo
Phiên Dịch Viên
Cá Nhân Hóa Màn Hình Ngoài FlexWindow Với Galaxy AI|Bảo mật sinh trắc học: Mở khoá vân tay cạnh viền
Nhận diện khuôn mặt|Kháng nước, kháng bụi: IPX8|<Tiện ích><Thông tin chung>|Thời điểm ra mắt: 07/2024|Sản phẩm bao gồm: Điện thoại thông minh, Cáp truyền dữ liệu, Que lấy sim|<Thông tin chung>"
https://hoanghamobile.com/dien-thoai/samsung-galaxy-m54-5g-8gb-256gb,Samsung Galaxy M54 5G 8GB/256GB,"Xanh Dương Đậm,Bạc","6,290,000 ₫,6,290,000 ₫","8,990,000 ₫",0,"<Màn hình>|Công nghệ màn hình: Super AMOLED Plus|Tần số quét (Hz): 120Hz|Kích thước màn hình: 6.7""|Độ sáng màn hình: 850 nits|Độ phân giải: 1080 x 2400|<Màn hình><Camera sau>|Quay phim: HD 720p@240fps
FullHD 1080p@60fps
FullHD 1080p@30fps
4K 2160p@30fps|Đèn Flash: Có|Tính năng: Zoom kỹ thuật số
Xóa phông
Tự động lấy nét (AF)
Trôi nhanh thời gian (Time Lapse)
Toàn cảnh (Panorama)
Siêu cận (Macro)
Quay Siêu chậm (Super Slow Motion)
Quay chậm (Slow Motion)
Hiệu ứng Bokeh
Góc siêu rộng (Ultrawide)
Góc rộng (Wide)
Chống rung quang học (OIS)
Chuyên nghiệp (Pro)
Ban đêm (Night Mode)|Độ phân giải camera: Chính 108 MP & Phụ 8 MP, 2 MP|<Camera sau><Camera trước>|Độ phân giải camera: 32 MP|Quay phim: Quay video Full HD
Quay video 4K|Tính năng: Làm đẹp|<Camera trước><Hệ điều hành & CPU>|Hệ điều hành: Android 13|Tốc độ CPU: 4 nhân 2.4 GHz & 4 nhân 2 GHz|Vi xử lý: Exynos 1380 8 nhân|Vi xử lý đồ họa (GPU): Mali-G68 MP5|<Hệ điều hành & CPU><Bộ nhớ & Lưu trữ>|RAM: 8 GB|Thẻ nhớ ngoài: MicroSD, hỗ trợ tối đa 1 TB|Bộ nhớ trong: 256 GB|Bộ nhớ còn lại (khả dụng): 219.8 GB|<Bộ nhớ & Lưu trữ><Kết nối>|Số khe SIM: 2 Nano SIM (SIM 2 chung khe thẻ nhớ)|Bluetooth: v5.3|Cổng kết nối/sạc: Type-C|Jack tai nghe: Type-C|Kết nối khác: NFC|Kết Nối NFC: Có|Wi-Fi: Wi-Fi 6|Định vị: QZSS
NavIC
GPS
GLONASS
GALILEO
BEIDOU|Mạng di động: 5G|<Kết nối><Thiết kế - trọng lượng>|Thiết kế: Nguyên khối|Chất liệu: Khung & Mặt lưng nhựa|Trọng lượng: 199 g|Kích thước: 164.9 mm x 77.3 mm x 8.4 mm|<Thiết kế - trọng lượng><Pin & Sạc>|Dung lượng pin sản phẩm: 6000 mAh|Loại pin: Li-Po|Hỗ trợ sạc tối đa: 25 W|Công nghệ pin: Tiết kiệm pin
Sạc pin nhanh|<Pin & Sạc><Tiện ích>|Tính năng đặc biệt: Ứng dụng kép (Dual Messenger)
Đa cửa sổ (chia đôi màn hình)
Âm thanh Dolby Atmos
Vision Booster
Trợ lý ảo Samsung Bixby
Thu nhỏ màn hình sử dụng một tay
Mở rộng bộ nhớ RAM
Màn hình luôn hiển thị AOD
Không gian thứ hai (Thư mục bảo mật)
Chế độ đơn giản (Giao diện đơn giản)
Chế độ trẻ em (Samsung Kids)
Chặn cuộc gọi
Chạm 2 lần tắt/sáng màn hình|Bảo mật sinh trắc học: Mở khoá vân tay cạnh viền
Mở khoá khuôn mặt|<Tiện ích><Thông tin chung>|Thời điểm ra mắt: 11/2023|<Thông tin chung>"
https://hoanghamobile.com/dien-thoai/samsung-galaxy-a06-4gb-128gb,Samsung Galaxy A06 4GB/128GB,"Blue Black,Light Green,Light Blue","2,990,000 ₫,2,990,000 ₫,2,990,000 ₫","3,490,000 ₫",0,"<Màn hình>|Tần số quét (Hz): 60Hz|Kích thước màn hình: 6.7""|Công nghệ màn hình: PLS LCD|Độ phân giải: 720 x 1600|Độ sáng màn hình: 0|<Màn hình><Camera sau>|Quay phim: FHD (1920 x 1080)@60fps|Tính năng: Tự động lấy nét|Đèn Flash: Có|Độ phân giải camera: 50MP (f/1.8) + 2MP (f/2.4)|<Camera sau><Camera trước>|Độ phân giải camera: 8 MP|<Camera trước><Hệ điều hành & CPU>|Vi xử lý: MediaTek G85|Hệ điều hành: Android|Tốc độ CPU: Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55)|Vi xử lý đồ họa (GPU): ARM Mali-G52 MC2|<Hệ điều hành & CPU><Bộ nhớ & Lưu trữ>|RAM: 4GB|Bộ nhớ trong: 128GB|Thẻ nhớ ngoài: MicroSD (lên đến 1TB)|<Bộ nhớ & Lưu trữ><Kết nối>|Số khe SIM: 2 SIM (Nano-SIM)|Jack tai nghe: 3.5mm|Bluetooth: V5.3|Cổng kết nối/sạc: Type-C|Kết nối khác: Đang cập nhật|Wi-Fi: 802.11a/b/g/n/ac|Cảm biến: Cảm biến vân tay ở nút nguồn cạnh bên|Mạng di động: 4G|Định vị: GPS
Glonass
Beidou
Galileo|Kết Nối NFC: Không|<Kết nối><Thiết kế - trọng lượng>|Thiết kế: Nâng chuẩn trải nghiệm di động của bạn cùng Galaxy A06 mỏng nhẹ. Với độ dày giảm đáng kể từ 8.8mm đến 8.0mm, Galaxy A06 mang đến bạn một thiết kế thanh mảnh đầy tinh tế với các lựa chọn màu sắc Đen Tuyền, Xanh Băng và Xanh Ngọc. Khẳng định bản thân với thiết kế và màu sắc nổi bật|Kích thước: 167.3mm x 77.3mm x 8.0mm|Trọng lượng: 189g|Chất liệu: Khung & Mặt lưng nhựa|<Thiết kế - trọng lượng><Pin & Sạc>|Hỗ trợ sạc tối đa: 25W|Dung lượng pin sản phẩm: 5000mAh|Loại pin: Li-Po|Công nghệ pin: Sạc nhanh 25W|<Pin & Sạc><Tiện ích>|Tính năng đặc biệt: Samsung Knox Vault bảo mật gấp bội, nhờ phím khóa vật lý bảo vệ PINS, mật khẩu và các thông tin cá nhân khác để các tin tặc không thể tấn công|Kháng nước, kháng bụi: Đang cập nhật|Bảo mật sinh trắc học: Mở khoá vân tay cạnh viền
Mở khoá khuôn mặt|<Tiện ích><Thông tin chung>|Thời điểm ra mắt: 08/2024|Sản phẩm bao gồm: Hộp, Sách hướng dẫn, Cây lấy sim, Cáp Type C|<Thông tin chung>"
https://hoanghamobile.com/dien-thoai/samsung-galaxy-s25,Điện thoại Samsung Galaxy S mới 1 256GB,"Xanh Dương Đậm,Xanh Lá,Xám Bạc,Xanh dương nhạt","23,990,000 ₫,23,990,000 ₫,23,990,000 ₫,23,990,000 ₫","23,990,000 ₫",0,
https://hoanghamobile.com/dien-thoai/samsung-galaxy-s25-plus,Điện thoại Samsung Galaxy S mới 2 256GB,"Xanh Dương Đậm,Xanh Lá,Xanh Da Trời,Xám Bạc","27,990,000 ₫,27,990,000 ₫,27,990,000 ₫,27,990,000 ₫","27,990,000 ₫",0,
https://hoanghamobile.com/dien-thoai/samsung-galaxy-s24-fe-8gb-128gb,Samsung Galaxy S24 FE 8GB/128GB,"Xanh Dương,Đen,Xám,Xanh Lá","14,190,000 ₫,14,190,000 ₫,14,190,000 ₫,14,190,000 ₫","16,990,000 ₫",0,"<Màn hình>|Công nghệ màn hình: Dynamic AMOLED 2X|Độ sáng màn hình: 1900nits|Tần số quét (Hz): 120Hz|Kích thước màn hình: 6.7""|Độ phân giải: 1080 x 2340|<Màn hình><Camera sau>|Quay phim: 8K 4320p@30fps|Tính năng: Zoom quang học
Zoom kỹ thuật số
Xóa phông
Tự động lấy nét (AF)
Trôi nhanh thời gian (Time Lapse)
Toàn cảnh (Panorama)
Super HDR
Quay video hiển thị kép
Quay chậm (Slow Motion)
Góc siêu rộng (Ultrawide)
Chống rung quang học (OIS)
Chống rung kỹ thuật số (VDIS)
Ban đêm (Night Mode)
AI Camera|Đèn Flash: Có|Độ phân giải camera: 50 MP (f/1.8) + 12 MP (f/2.2) + 8 MP (f/2.4)|<Camera sau><Camera trước>|Độ phân giải camera: 10MP|Tính năng: Xóa phông
Làm đẹp|<Camera trước><Hệ điều hành & CPU>|Hệ điều hành: Android 14|Vi xử lý: Exynos 2400e 8 nhân|Tốc độ CPU: 10-core (1x3.1 GHz + 2x2.9 GHz + 3x2.6 GHz + 4x1.95 GHz)|Vi xử lý đồ họa (GPU): Xclipse 940|<Hệ điều hành & CPU><Bộ nhớ & Lưu trữ>|RAM: 8GB|Bộ nhớ trong: 128 GB|Bộ nhớ còn lại (khả dụng): 113 GB|Thẻ nhớ ngoài: Không hỗ trợ thẻ nhớ|<Bộ nhớ & Lưu trữ><Kết nối>|Số khe SIM: 2 Nano SIM hoặc 1 Nano SIM + 1 eSIM|Định vị: QZSS
GPS
GLONASS
GALILEO
BEIDOU|Bluetooth: V5.3|Cổng kết nối/sạc: Type-C|Jack tai nghe: Type-C|Kết nối khác: Đang cập nhật|Wi-Fi: Wi-Fi 802.11 a/b/g/n/ac/ax|Cảm biến: Cảm biến vân tay quang học|Mạng di động: 5G|Kết Nối NFC: Có|<Kết nối><Thiết kế - trọng lượng>|Thiết kế: Nguyên khối|Chất liệu: Khung kim loại & Mặt lưng kính|Kích thước: 162mm x 77.3mm x 8mm|Trọng lượng: 213g|<Thiết kế - trọng lượng><Pin & Sạc>|Dung lượng pin sản phẩm: 4700mAh|Loại pin: Li-Ion|Công nghệ pin: Tiết kiệm pin
Sạc pin nhanh
Sạc ngược không dây
Sạc không dây
Siêu tiết kiệm pin|Hỗ trợ sạc tối đa: 25 W|<Pin & Sạc><Tiện ích>|Bảo mật sinh trắc học: Mở khoá vân tay dưới màn hình
Mở khoá khuôn mặt|Tính năng đặc biệt: Âm thanh Dolby Audio
Âm thanh AKG
Vision Booster
Tản nhiệt buồng hơi
Trợ lý ảo Samsung Bixby
Trợ lý note thông minh
Trợ lý chat thông minh
Thu nhỏ màn hình sử dụng một tay
Samsung Pay
